OBS,Path,BaseTable,DataTablePath,f.Name,prompttext,ft.Name,DataType,mmria_path,value1,value2,mmria_value,MMRIA Group Name,Comments
2679,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,IN- India,IN,IN- India,,
2680,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,ID- Indonesia,ID,ID- Indonesia,,
2681,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,IR- Iran,IR,IR- Iran,,
2682,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,IZ- Iraq,IZ,IZ- Iraq,,
2683,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,EI- Ireland,EI,EI- Ireland,,
2684,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,IM- Isle of Man,IM,IM- Isle of Man,,
2685,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,IS- Israel,IS,IS- Israel,,
2686,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,IT- Italy,IT,IT- Italy,,
2687,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,JM- Jamaica,JM,JM- Jamaica,,
2688,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,JA- Japan,JA,JA- Japan,,
2689,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,DQ- Jarvis I.,DQ,DQ- Jarvis I.,,
2690,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,JE- Jersey,JE,JE- Jersey,,
2691,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,JQ- Johnston Atoll,JQ,JQ- Johnston Atoll,,
2692,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,JO- Jordan,JO,JO- Jordan,,
2693,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,JU- Juan De Nova I.,JU,JU- Juan De Nova I.,,
2694,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,KZ- Kazakhstan,KZ,KZ- Kazakhstan,,
2695,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,KE- Kenya,KE,KE- Kenya,,
2696,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,KR- Kiribati,KR,KR- Kiribati,,
2697,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,KU- Kuwait,KU,KU- Kuwait,,
2698,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,KG- Kyrgyzstan,KG,KG- Kyrgyzstan,,
2699,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LA- Laos,LA,LA- Laos,,
2700,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LG- Latvia,LG,LG- Latvia,,
2701,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LE- Lebanon,LE,LE- Lebanon,,
2702,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LT- Lesotho,LT,LT- Lesotho,,
2703,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LI- Liberia,LI,LI- Liberia,,
2704,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LY- Libya,LY,LY- Libya,,
2705,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LS- Liechtenstein,LS,LS- Liechtenstein,,
2706,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LH- Lithuania,LH,LH- Lithuania,,
2707,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LU- Luxembourg,LU,LU- Luxembourg,,
2708,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MA- Madagascar,MA,MA- Madagascar,,
2709,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MI- Malawi,MI,MI- Malawi,,
2710,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MY- Malaysia,MY,MY- Malaysia,,
2711,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MV- Maldives,MV,MV- Maldives,,
2712,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,ML- Mali,ML,ML- Mali,,
2713,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MT- Malta,MT,MT- Malta,,
2714,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,RM- Marshall Is.,RM,RM- Marshall Is.,,
2715,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MB- Martinique,MB,MB- Martinique,,
2716,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MR- Mauritania,MR,MR- Mauritania,,
2717,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MP- Mauritius,MP,MP- Mauritius,,
2718,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MF- Mayotte,MF,MF- Mayotte,,
2719,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MX- Mexico,MX,MX- Mexico,,
2720,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,FM- Micronesia,FM,FM- Micronesia,,
2721,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MQ- Midway Is.,MQ,MQ- Midway Is.,,
2722,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MD- Moldova,MD,MD- Moldova,,
2723,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MN- Monaco,MN,MN- Monaco,,
2724,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MG- Mongolia,MG,MG- Mongolia,,
2725,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MH- Montserrat,MH,MH- Montserrat,,
2726,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MO- Morocco,MO,MO- Morocco,,
2727,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MZ- Mozambique,MZ,MZ- Mozambique,,
2728,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,WA- Namibia,WA,WA- Namibia,,
2729,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NR- Nauru,NR,NR- Nauru,,
2730,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NP- Nepal,NP,NP- Nepal,,
2731,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NL- Netherlands,NL,NL- Netherlands,,
2732,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NT- Netherlands Antilles,NT,NT- Netherlands Antilles,,
2733,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NC- New Caledonia,NC,NC- New Caledonia,,
2734,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NZ- New Zealand,NZ,NZ- New Zealand,,
2735,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NU- Nicaragua,NU,NU- Nicaragua,,
2736,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NG- Niger,NG,NG- Niger,,
2737,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NI- Nigeria,NI,NI- Nigeria,,
2738,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NE- Niue,NE,NE- Niue,,
2739,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NF- Norfolk I.,NF,NF- Norfolk I.,,
2740,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,CQ- Northern Mariana Is.,CQ,CQ- Northern Mariana Is.,,
2741,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NO- Norway,NO,NO- Norway,,
2742,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MU- Oman,MU,MU- Oman,,
2743,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,PK- Pakistan,PK,PK- Pakistan,,
2744,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,PS- Palau,PS,PS- Palau,,
2745,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,PM- Panama,PM,PM- Panama,,
2746,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,PP- Papua New Guinea,PP,PP- Papua New Guinea,,
2747,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,PA- Paraguay,PA,PA- Paraguay,,
2748,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,PE- Peru,PE,PE- Peru,,
2749,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,RP- Philippines,RP,RP- Philippines,,
2750,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,PC- Pitcairn Is.,PC,PC- Pitcairn Is.,,
2751,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,PL- Poland,PL,PL- Poland,,
2752,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,PO- Portugal,PO,PO- Portugal,,
2753,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,RQ- Puerto Rico,RQ,RQ- Puerto Rico,,
2754,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,QA- Qatar,QA,QA- Qatar,,
2755,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,KS- South Korea,KS,KS- South Korea,,
2756,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,MJ- Montenegro,MJ,MJ- Montenegro,,
2757,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,RB- Serbia,RB,RB- Serbia,,
2758,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,RE- Reunion,RE,RE- Reunion,,
2759,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,RO- Romania,RO,RO- Romania,,
2760,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,RS- Russia,RS,RS- Russia,,
2761,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,RW- Rwanda,RW,RW- Rwanda,,
2762,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SH- St. Helena,SH,SH- St. Helena,,
2763,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SC- St. Kitts & Nevis,SC,SC- St. Kitts & Nevis,,
2764,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,ST- St. Lucia,ST,ST- St. Lucia,,
2765,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SB- St. Pierre & Miquelon,SB,SB- St. Pierre & Miquelon,,
2766,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,VC- St. Vincent & the Grenadines,VC,VC- St. Vincent & the Grenadines,,
2767,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,WS- Samoa,WS,WS- Samoa,,
2768,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SM- San Marino,SM,SM- San Marino,,
2769,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,TP- Sao Tome & Principe,TP,TP- Sao Tome & Principe,,
2770,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SA- Saudi Arabia,SA,SA- Saudi Arabia,,
2771,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SG- Senegal,SG,SG- Senegal,,
2772,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SE- Seychelles,SE,SE- Seychelles,,
2773,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SL- Sierra Leone,SL,SL- Sierra Leone,,
2774,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SN- Singapore,SN,SN- Singapore,,
2775,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,LO- Slovakia,LO,LO- Slovakia,,
2776,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SI- Slovenia,SI,SI- Slovenia,,
2777,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,BP- Solomon Is.,BP,BP- Solomon Is.,,
2778,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SO- Somalia,SO,SO- Somalia,,
2779,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SF- South Africa,SF,SF- South Africa,,
2780,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SX- South Georgia & the South Sandwich Is.,SX,SX- South Georgia & the South Sandwich Is.,,
2781,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SP- Spain,SP,SP- Spain,,
2782,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,CE- Sri Lanka,CE,CE- Sri Lanka,,
2783,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SU- Sudan,SU,SU- Sudan,,
2784,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,NS- Suriname,NS,NS- Suriname,,
2785,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,JN- Jan Mayen,JN,JN- Jan Mayen,,
2786,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SV- Svalbard,SV,SV- Svalbard,,
2787,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,WZ- Swaziland,WZ,WZ- Swaziland,,
2788,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SW- Sweden,SW,SW- Sweden,,
2789,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SZ- Switzerland,SZ,SZ- Switzerland,,
2790,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,SY- Syria,SY,SY- Syria,,
2791,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,TI- Tajikistan,TI,TI- Tajikistan,,
2792,SocialServicesRecord17.SS_BCountry,SocialServicesRecord,SocialServicesRecord17,SS_BCountry,Country of birth,Comment Legal,Unknown,social_and_environmental_profile/socio_economic_characteristics/country_of_birth,TH- Thailand,TH,TH- Thailand,,
